sourceId,source,sourcePath,slug,nameEn,nameFr,category,primaryMusclesFr,secondaryMusclesFr,equipmentFr,difficulty,movementType,instructionsFr,commonMistakesFr,imagePath,animationPath,thumbnailPath,isActive,isVariant,canonicalKey,canonicalSlug,variantLabelFr
3_4_Sit-Up,ExerciseDB,exercises/3_4_Sit-Up/exercise.json,3-4-sit-up,3/4 Sit-Up,3/4 Sit Up,Abdos,"[""Abdominaux""]",[],"[""Poids du corps""]",Débutant,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur abdominaux et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Perte de gainage"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/3-4-sit-up/image.webp,/media/exercises/3-4-sit-up/animation.webp,/media/exercises/3-4-sit-up/thumbnail.webp,True,False,3-4-sit-up,3-4-sit-up,
90_90_Hamstring,ExerciseDB,exercises/90_90_Hamstring/exercise.json,etirement-ischios-90-90,90/90 Hamstring,Étirement ischios 90/90,Mobilité,"[""Ischios""]","[""Mollets""]","[""Poids du corps""]",Débutant,Non précisé,"Installe-toi dans une position confortable, respire lentement et augmente l’amplitude sans douleur. Garde le contrôle pendant tout le mouvement.","[""Forcer l’amplitude"", ""Respiration bloquée"", ""Position non contrôlée""]",/media/exercises/etirement-ischios-90-90/image.webp,/media/exercises/etirement-ischios-90-90/animation.webp,/media/exercises/etirement-ischios-90-90/thumbnail.webp,True,False,90-90-hamstring,etirement-ischios-90-90,
Ab_Crunch_Machine,ExerciseDB,exercises/Ab_Crunch_Machine/exercise.json,crunch-machine,Ab Crunch Machine,Crunch machine,Abdos,"[""Abdominaux""]",[],"[""Machine""]",Intermédiaire,Isolation,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur abdominaux et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/crunch-machine/image.webp,/media/exercises/crunch-machine/animation.webp,/media/exercises/crunch-machine/thumbnail.webp,True,False,ab-crunch-machine,crunch-machine,
Ab_Roller,ExerciseDB,exercises/Ab_Roller/exercise.json,ab-roller,Ab Roller,Ab roller,Abdos,"[""Abdominaux""]","[""Épaules""]","[""Autre""]",Intermédiaire,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur abdominaux et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/ab-roller/image.webp,/media/exercises/ab-roller/animation.webp,/media/exercises/ab-roller/thumbnail.webp,True,False,ab-roller,ab-roller,
Adductor,ExerciseDB,exercises/Adductor/exercise.json,adductor,Adductor,Adductor,Mobilité,"[""Adducteurs""]",[],"[""Rouleau de massage""]",Intermédiaire,Isolation,"Installe-toi dans une position confortable, respire lentement et augmente l’amplitude sans douleur. Garde le contrôle pendant tout le mouvement.","[""Forcer l’amplitude"", ""Respiration bloquée"", ""Position non contrôlée""]",/media/exercises/adductor/image.webp,/media/exercises/adductor/animation.webp,/media/exercises/adductor/thumbnail.webp,True,False,adductor,adductor,
Adductor_Groin,ExerciseDB,exercises/Adductor_Groin/exercise.json,adductor-groin,Adductor/Groin,Adductor/Groin,Mobilité,"[""Adducteurs""]",[],"[""Aucun""]",Intermédiaire,Non précisé,"Installe-toi dans une position confortable, respire lentement et augmente l’amplitude sans douleur. Garde le contrôle pendant tout le mouvement.","[""Forcer l’amplitude"", ""Respiration bloquée"", ""Position non contrôlée""]",/media/exercises/adductor-groin/image.webp,/media/exercises/adductor-groin/animation.webp,/media/exercises/adductor-groin/thumbnail.webp,True,False,adductor-groin,adductor-groin,
Advanced_Kettlebell_Windmill,ExerciseDB,exercises/Advanced_Kettlebell_Windmill/exercise.json,advanced-kettlebell-windmill,Advanced Kettlebell Windmill,Advanced Kettlebell Windmill,Abdos,"[""Abdominaux""]","[""Fessiers"", ""Ischios"", ""Épaules""]","[""Kettlebell""]",Intermédiaire,Isolation,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur abdominaux et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/advanced-kettlebell-windmill/image.webp,/media/exercises/advanced-kettlebell-windmill/animation.webp,/media/exercises/advanced-kettlebell-windmill/thumbnail.webp,True,False,advanced-kettlebell-windmill,advanced-kettlebell-windmill,
Air_Bike,ExerciseDB,exercises/Air_Bike/exercise.json,air-bike,Air Bike,Air bike,Abdos,"[""Abdominaux""]",[],"[""Poids du corps""]",Débutant,Polyarticulaire,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur abdominaux et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Perte de gainage"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/air-bike/image.webp,/media/exercises/air-bike/animation.webp,/media/exercises/air-bike/thumbnail.webp,True,False,air-bike,air-bike,
All_Fours_Quad_Stretch,ExerciseDB,exercises/All_Fours_Quad_Stretch/exercise.json,all-fours-quad-stretch,All Fours Quad Stretch,All Fours Quad Stretch,Mobilité,"[""Quadriceps""]","[""Quadriceps""]","[""Poids du corps""]",Intermédiaire,Non précisé,"Installe-toi dans une position confortable, respire lentement et augmente l’amplitude sans douleur. Garde le contrôle pendant tout le mouvement.","[""Forcer l’amplitude"", ""Respiration bloquée"", ""Position non contrôlée""]",/media/exercises/all-fours-quad-stretch/image.webp,/media/exercises/all-fours-quad-stretch/animation.webp,/media/exercises/all-fours-quad-stretch/thumbnail.webp,True,False,all-fours-quad-stretch,all-fours-quad-stretch,
Alternate_Hammer_Curl,ExerciseDB,exercises/Alternate_Hammer_Curl/exercise.json,alternate-curl-marteau,Alternate Hammer Curl,Alternate Curl marteau,Bras,"[""Biceps""]","[""Avant-bras""]","[""Haltères""]",Débutant,Isolation,"Installe-toi correctement, garde le gainage et réalise le mouvement de façon contrôlée. Concentre-toi sur biceps et évite les à-coups. Reviens lentement en position de départ avant de répéter.","[""Charge trop lourde"", ""Amplitude incomplète"", ""Mouvement trop rapide""]",/media/exercises/alternate-curl-marteau/image.webp,/media/exercises/alternate-curl-marteau/animation.webp,/media/exercises/alternate-curl-marteau/thumbnail.webp,True,True,hammer-curl,alternate-curl-marteau,Alterné
